('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954620 function calls (927560 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    0.001    0.000 url.py:367(parse_url)
      304    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
      100    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
       28    0.000    0.000    0.000    0.000 <frozen posixpath>:176(dirname)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
      414    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
       16    0.000    0.000    0.000    0.000 response.py:281(get)
      529    0.000    0.000    0.002    0.000 typing.py:789(<genexpr>)
        1    0.000    0.000    0.003    0.003 minidom.py:1(<module>)
      316    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       90    0.000    0.000    0.005    0.000 typing.py:806(Optional)
      215    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
  498/493    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
    80/17    0.000    0.000    0.420    0.025 {built-in method builtins.__import__}
      575    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       49    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
        1    0.000    0.000    0.000    0.000 alert.py:1(<module>)
        8    0.000    0.000    0.001    0.000 feedparser.py:472(_parse_headers)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
        5    0.000    0.000    0.003    0.001 dataclasses.py:929(_process_class)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
